pkid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
2,1,commute,FakeTorino,1024,45.60054154829545,26.953125,20.21484375,34
2,1,commute,FakeTorino,1024,37.85930765086207,34.1796875,30.46875,28
2,1,commute,FakeTorino,1024,40.36398841594828,31.73828125,26.07421875,39
0,1,commute,FakeTorino,4096,19.961576021634617,63.0615234375,54.4189453125,26
0,1,commute,FakeTorino,4096,21.863619290865383,60.44921875,51.85546875,32
0,1,commute,FakeTorino,4096,17.882958984375,60.693359375,7.71484375,33
0,1,commute,FakeTorino,4096,18.57294921875,61.03515625,7.861328125,34
0,1,commute,FakeTorino,4096,27.2064453125,60.595703125,51.7578125,27
0,1,commute,FakeTorino,4096,26.711083984375,62.01171875,54.2236328125,26
1,1,commute,FakeTorino,4096,750.4156494140625,7.080078125,5.419921875,32
1,1,commute,FakeTorino,4096,828.0430908203125,7.2021484375,5.9814453125,24
1,1,commute,FakeTorino,4096,794.9437255859375,6.494140625,6.0791015625,23
1,1,commute,FakeTorino,4096,783.8800048828125,7.8125,7.51953125,25
1,1,commute,FakeTorino,4096,764.1348876953125,7.080078125,4.345703125,24
1,1,commute,FakeTorino,4096,874.012939453125,4.736328125,3.0517578125,27
2,1,commute,FakeTorino,4096,32.17858072916667,28.90625,19.677734375,30
2,1,commute,FakeTorino,4096,27.044482421875,33.7890625,23.8525390625,29
2,1,commute,FakeTorino,4096,45.74520596590909,29.4677734375,24.51171875,31
2,1,commute,FakeTorino,4096,47.84168590198863,20.1904296875,13.28125,28
2,1,commute,FakeTorino,4096,48.888318292025865,19.8974609375,14.9169921875,33
2,1,commute,FakeTorino,4096,56.060100686961206,16.11328125,13.0859375,31
0,1,commute,FakeBrisbane,16,25.79326923076923,50.0,25.0,18
0,1,commute,FakeBrisbane,16,17.629807692307693,68.75,56.25,20
0,1,commute,FakeBrisbane,16,13.3625,75.0,25.0,20
0,1,commute,FakeBrisbane,16,6.6125,81.25,12.5,18
0,1,commute,FakeBrisbane,16,22.8125,62.5,43.75,17
0,1,commute,FakeBrisbane,16,30.125,50.0,37.5,17
1,1,commute,FakeBrisbane,16,1000.1875,12.5,12.5,16
1,1,commute,FakeBrisbane,16,1100.4375,6.25,0,13
1,1,commute,FakeBrisbane,16,962.75,0,0,18
1,1,commute,FakeBrisbane,16,825.125,6.25,6.25,18
1,1,commute,FakeBrisbane,16,837.71875,12.5,12.5,18
