pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
5,4,15,9,commute,0.08919270833333333,100.0,82.16145833333333,78.66666666666667
5,4,15,9,cyclic,132.52766927083334,55.598958333333336,0.06510416666666667,98.33333333333333
5,4,15,9,penalty,1076.8068033854167,1.7252604166666667,1.0416666666666667,92.33333333333333
5,5,15,9,HEA,1737.4112955729167,0.09765625,0.09765625,151.0
5,5,15,9,commute,0.0927734375,100.0,81.4453125,94.66666666666667
5,5,15,9,cyclic,107.3955078125,58.365885416666664,0.0,140.66666666666666
5,5,15,9,penalty,1322.818359375,0.29296875,0.2604166666666667,108.66666666666667
5,6,15,9,HEA,1713.3196614583333,0.06510416666666667,0.0,151.0
5,6,15,9,commute,0.09309895833333333,100.0,81.38020833333333,122.66666666666667
5,6,15,9,cyclic,295.7849934895833,37.434895833333336,0.1953125,144.66666666666666
5,6,15,9,penalty,1545.5193684895833,0.032552083333333336,0.032552083333333336,120.66666666666667
5,7,15,9,HEA,1727.2615559895833,0.032552083333333336,0.032552083333333336,151.0
5,7,15,9,commute,0.09244791666666667,100.0,81.51041666666667,147.33333333333334
5,7,15,9,cyclic,620.55859375,2.3111979166666665,0.16276041666666666,143.66666666666666
5,7,15,9,penalty,746.7902018229166,2.7669270833333335,1.7578125,148.33333333333334
6,1,24,12,HEA,2327.450439453125,0.0,0.0,151.0
6,1,24,12,commute,0.469677734375,100.0,13.876953125,25.5
6,1,24,12,cyclic,772.134326171875,0.458984375,0.009765625,32.7
6,1,24,12,penalty,2923.09423828125,0.029296875,0.0,30.6
6,2,24,12,HEA,2840.175927734375,0.0,0.0,151.0
6,2,24,12,commute,0.3818359375,100.0,31.982421875,46.5
6,2,24,12,cyclic,692.580029296875,7.8515625,0.0390625,54.0
6,2,24,12,penalty,1987.5986328125,0.029296875,0.0,52.7
6,3,24,12,HEA,3018.5484375,0.0,0.0,151.0
6,3,24,12,commute,0.23505859375,100.0,55.21484375,70.9
6,3,24,12,cyclic,159.22744140625,54.94140625,0.009765625,83.9
6,3,24,12,penalty,1971.9046875,0.13671875,0.05859375,72.4
6,4,24,12,HEA,3080.499267578125,0.0,0.0,151.0
6,4,24,12,commute,0.232421875,100.0,58.154296875,88.2
6,4,24,12,cyclic,395.418701171875,30.21484375,0.009765625,105.9
6,4,24,12,penalty,1935.592431640625,0.09765625,0.0,88.6
6,5,24,12,HEA,3073.522021484375,0.0,0.0,151.0
6,5,24,12,commute,0.291943359375,100.0,46.455078125,105.2
6,5,24,12,cyclic,348.130908203125,33.818359375,0.302734375,122.5
6,5,24,12,penalty,2189.73818359375,0.078125,0.009765625,109.2
6,6,24,12,HEA,3075.55185546875,0.0,0.0,151.0
6,6,24,12,commute,0.31630859375,100.0,42.1484375,121.9
6,6,24,12,cyclic,320.924267578125,27.294921875,0.029296875,146.1
6,6,24,12,penalty,2598.738232421875,0.009765625,0.0,121.4
6,7,24,12,HEA,3090.787353515625,0.0,0.0,151.0
6,7,24,12,commute,0.27353515625,100.0,49.091796875,140.8
6,7,24,12,cyclic,478.82109375,20.29296875,0.05859375,144.8
6,7,24,12,penalty,2591.484765625,0.009765625,0.0,131.3
7,1,28,16,HEA,2983.2154296875,0.0,0.0,151.0
7,1,28,16,commute,0.55986328125,100.0,1.259765625,21.4
7,1,28,16,cyclic,1162.77861328125,0.009765625,0.0,30.4
7,1,28,16,penalty,3268.45009765625,0.0,0.0,29.6
7,2,28,16,HEA,3639.928271484375,0.0,0.0,151.0
7,2,28,16,commute,0.542236328125,100.0,6.005859375,44.5
7,2,28,16,cyclic,488.8138671875,52.12890625,0.0,54.2
7,2,28,16,penalty,2124.294287109375,0.0,0.0,58.0
7,3,28,16,HEA,3795.87646484375,0.0,0.0,151.0
7,3,28,16,commute,0.5009765625,100.0,13.2421875,62.7
7,3,28,16,cyclic,452.836865234375,39.619140625,0.009765625,88.7
7,3,28,16,penalty,2318.6498046875,0.029296875,0.01953125,76.6
7,4,28,16,HEA,3848.958837890625,0.0,0.0,151.0
7,4,28,16,commute,0.494189453125,100.0,15.703125,78.9
7,4,28,16,cyclic,385.0669921875,26.826171875,0.0,113.7
7,4,28,16,penalty,2205.45869140625,0.09765625,0.009765625,95.2
7,5,28,16,HEA,3833.35068359375,0.0,0.0,151.0
7,5,28,16,commute,0.5052734375,100.0,13.720703125,98.4
7,5,28,16,cyclic,437.493994140625,31.669921875,0.048828125,129.7
7,5,28,16,penalty,2311.552734375,0.009765625,0.0,108.0
7,6,28,16,HEA,3858.601806640625,0.0,0.0,151.0
7,6,28,16,commute,0.496240234375,100.0,15.6640625,108.4
