pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
7,8,2,28,16,penalty,2492.7683000001357,0,0
7,9,2,28,16,penalty,1379.4188500000143,0,0
7,0,3,28,16,penalty,1663.8231000000517,0.02,0
7,1,3,28,16,penalty,2334.086050000072,0,0
7,2,3,28,16,penalty,1289.2312499999998,0.030000000000000002,0
7,3,3,28,16,penalty,1442.0651000000016,0.02,0
7,4,3,28,16,penalty,1238.6470500000044,0.08000000000000002,0.01
7,5,3,28,16,penalty,1793.7166000000295,0.01,0
7,6,3,28,16,penalty,3345.127950000226,0,0
7,7,3,28,16,penalty,1957.962750000035,0.01,0
7,8,3,28,16,penalty,1373.5962000000125,0.6200000000000001,0.04
7,9,3,28,16,penalty,2085.2794000000094,0,0
7,0,4,28,16,penalty,1004.9798000000168,0.7800000000000007,0.09000000000000002
7,1,4,28,16,penalty,1027.5855500000164,0.6000000000000001,0.060000000000000005
7,2,4,28,16,penalty,3152.460150000171,0,0
7,3,4,28,16,penalty,3471.51270000019,0,0
7,4,4,28,16,penalty,1162.1871000000067,0.22999999999999998,0.02
7,5,4,28,16,penalty,1308.7254500000204,0.07,0
7,6,4,28,16,penalty,3024.69390000019,0,0
7,7,4,28,16,penalty,2254.3356500000637,0.02,0
7,8,4,28,16,penalty,2976.072550000174,0,0
7,9,4,28,16,penalty,2838.406450000148,0,0
7,0,5,28,16,penalty,1145.754750000008,0.5900000000000002,0.05
7,1,5,28,16,penalty,1478.8273500000118,0.02,0.02
7,2,5,28,16,penalty,2089.564700000023,0,0
7,3,5,28,16,penalty,2065.5877500000583,0,0
7,4,5,28,16,penalty,2174.8974000000308,0,0
7,5,5,28,16,penalty,2271.4237500000554,0,0
7,6,5,28,16,penalty,1199.5372000000104,0.49,0.030000000000000002
7,7,5,28,16,penalty,1982.5656500000205,0.01,0.01
7,8,5,28,16,penalty,1316.832800000015,0.14,0.060000000000000005
7,9,5,28,16,penalty,2474.617400000104,0,0
7,0,1,28,16,cyclic,1201.739150000015,0.02,0
7,1,1,28,16,cyclic,1197.2799000000261,0,0
7,2,1,28,16,cyclic,1.52,99.74,0
7,3,1,28,16,cyclic,2.27995,99.37,0
7,4,1,28,16,cyclic,38.41999999999999,82.78999999999999,0
7,5,1,28,16,cyclic,5.019999999999999,98.00999999999999,0
7,6,1,28,16,cyclic,1158.5640499999931,0.08,0
7,7,1,28,16,cyclic,1148.6621999999809,0.06999999999999999,0
7,8,1,28,16,cyclic,1163.348099999986,0.039999999999999994,0
7,9,1,28,16,cyclic,1169.7899999999868,0.05,0
7,0,2,28,16,cyclic,1193.159900000009,0.05,0
7,1,2,28,16,cyclic,1197.9766000000159,0.03,0
7,2,2,28,16,cyclic,1200.1702000000012,0,0
7,3,2,28,16,cyclic,1200.0673000000033,0,0
7,4,2,28,16,cyclic,1.2200000000000002,99.89,0
7,5,2,28,16,cyclic,1.52,99.74,0
7,6,2,28,16,cyclic,1158.5096499999845,0.01,0
7,7,2,28,16,cyclic,1194.1013000000087,0.01,0
7,8,2,28,16,cyclic,1204.7470000000058,0,0
7,9,2,28,16,cyclic,1174.20324999998,0.05,0
7,0,3,28,16,cyclic,1198.0567500000138,0,0
7,1,3,28,16,cyclic,350.4820999999958,16.71,0
7,2,3,28,16,cyclic,1021.6583499999972,0.21999999999999997,0
7,3,3,28,16,cyclic,1076.5989999999986,0.01,0
7,4,3,28,16,cyclic,5.7941499999999975,97.66999999999999,0
7,5,3,28,16,cyclic,2.9399999999999995,99.03999999999999,0
7,6,3,28,16,cyclic,335.6677499999967,18.75,0
7,7,3,28,16,cyclic,322.48524999999717,19.939999999999998,0
7,8,3,28,16,cyclic,5.13455,97.98000000000002,0
7,9,3,28,16,cyclic,439.3748500000023,26.779999999999987,1.94
7,0,4,28,16,cyclic,9.219899999999999,95.94,0
7,1,4,28,16,cyclic,27.037999999999972,88.26999999999998,0
7,2,4,28,16,cyclic,17.558049999999987,92.47,0
7,3,4,28,16,cyclic,28.67899999999998,87.21,0
7,4,4,28,16,cyclic,503.51705000000214,33.750000000000014,2.81
7,5,4,28,16,cyclic,1.4198000000000004,99.8,0
7,6,4,28,16,cyclic,290.3690500000007,23.01,0
7,7,4,28,16,cyclic,265.42660000000046,31.7,0
7,8,4,28,16,cyclic,19.79919999999999,91.07999999999998,0
7,9,4,28,16,cyclic,14.179800000000004,93.75,0
7,0,5,28,16,cyclic,98.83349999999969,61.77,0
7,1,5,28,16,cyclic,316.60649999999816,20.95,0
7,2,5,28,16,cyclic,406.32789999999517,11.91,0
7,3,5,28,16,cyclic,531.1299999999947,3.8699999999999997,0
7,4,5,28,16,cyclic,393.0871499999998,11.58,0
7,5,5,28,16,cyclic,408.2278499999965,12.120000000000001,0
7,6,5,28,16,cyclic,345.0288499999961,15.809999999999999,0
7,7,5,28,16,cyclic,350.0263499999999,18.759999999999998,0
7,8,5,28,16,cyclic,27.178099999999986,87.98,0
7,9,5,28,16,cyclic,151.9393,49.41,0
7,0,1,28,16,commute,0.5,100.0,0
7,1,1,28,16,commute,1.0,100.0,0
7,2,1,28,16,commute,0.5001,100.0,0
7,3,1,28,16,commute,0.5007000000000001,100.0,0.5
7,4,1,28,16,commute,0.5,100.0,0
7,5,1,28,16,commute,0.5,100.0,0
7,6,1,28,16,commute,0.5004000000000002,100.0,0
7,7,1,28,16,commute,0.5002,100.0,2.88
7,8,1,28,16,commute,0.59015,100.0,6.59
7,9,1,28,16,commute,0.5,100.0,0
7,0,2,28,16,commute,0.45275,99.99999999999999,11.15
7,1,2,28,16,commute,1.0,100.0,0
7,2,2,28,16,commute,0.5,100.0,0
7,3,2,28,16,commute,0.49324999999999974,100.0,2.1
7,4,2,28,16,commute,0.5002,100.0,0
7,5,2,28,16,commute,0.45184999999999986,100.0,13.63
7,6,2,28,16,commute,0.4999999999999998,100.0,0
7,7,2,28,16,commute,0.4939500000000001,100.0,2.22
7,8,2,28,16,commute,0.59625,100.0,6.07
7,9,2,28,16,commute,0.5000499999999999,100.0,0
7,0,3,28,16,commute,0.3813000000000002,100.0,24.54
7,1,3,28,16,commute,1.0,100.0,0
7,2,3,28,16,commute,0.5019,100.0,0
7,3,3,28,16,commute,0.2863000000000002,100.00000000000003,55.11000000000001
7,4,3,28,16,commute,0.5002499999999999,99.99999999999999,0
7,5,3,28,16,commute,0.5001,99.99999999999999,0
7,6,3,28,16,commute,0.5,100.0,0
7,7,3,28,16,commute,0.28515,100.0,44.22
7,8,3,28,16,commute,0.6030000000000002,99.99999999999999,8.42
7,9,3,28,16,commute,0.5,100.0,0
7,0,4,28,16,commute,0.11334999999999984,99.99999999999999,82.0
7,1,4,28,16,commute,1.0,100.0,0
7,2,4,28,16,commute,0.5020500000000001,100.0,0
7,3,4,28,16,commute,0.2698999999999998,100.0,57.63
7,4,4,28,16,commute,0.5000499999999999,100.0,0
7,5,4,28,16,commute,0.3241999999999998,100.0,39.839999999999996
7,6,4,28,16,commute,0.5001500000000001,100.0,0
7,7,4,28,16,commute,0.28875000000000006,100.0,42.65
7,8,4,28,16,commute,0.5813999999999997,100.00000000000003,4.6000000000000005
7,9,4,28,16,commute,0.5001500000000001,100.0,0
7,0,5,28,16,commute,0.2877499999999995,100.0,43.419999999999995
7,1,5,28,16,commute,1.0,100.0,0
7,2,5,28,16,commute,0.50085,100.0,0
7,3,5,28,16,commute,0.24489999999999967,99.99999999999999,52.35999999999999
7,4,5,28,16,commute,0.5006499999999998,100.0,0
7,5,5,28,16,commute,0.32610000000000006,100.0,39.85
7,6,5,28,16,commute,0.5000999999999998,100.0,0
7,7,5,28,16,commute,0.2581000000000002,99.99999999999999,48.89
7,8,5,28,16,commute,0.5280499999999999,100.00000000000003,12.959999999999999
7,9,5,28,16,commute,0.50065,100.0,0
7,0,1,28,16,HEA,2473.4851000000544,0,0
7,1,1,28,16,HEA,1932.1539499999963,0,0
7,2,1,28,16,HEA,2872.9771500000597,0,0
7,3,1,28,16,HEA,2709.023550000086,0,0
7,4,1,28,16,HEA,3127.0317500001975,0,0
7,5,1,28,16,HEA,3211.2428500001733,0,0
7,6,1,28,16,HEA,3195.788150000164,0,0
7,7,1,28,16,HEA,3125.7510000001394,0,0
7,8,1,28,16,HEA,3075.6198500001306,0,0
7,9,1,28,16,HEA,2876.1118000001347,0,0
7,0,2,28,16,HEA,3680.273450000179,0,0
7,1,2,28,16,HEA,3594.08390000018,0,0
7,2,2,28,16,HEA,3566.0751000002006,0,0
7,3,2,28,16,HEA,3438.6192500001657,0,0
7,4,2,28,16,HEA,3623.427150000182,0,0
7,5,2,28,16,HEA,3639.9905500001964,0,0
7,6,2,28,16,HEA,3588.334600000212,0,0
7,7,2,28,16,HEA,3707.4609500001857,0,0
7,8,2,28,16,HEA,3531.2882000001755,0,0
7,9,2,28,16,HEA,3621.4508500001566,0,0
7,0,3,28,16,HEA,3930.760600000145,0,0
7,1,3,28,16,HEA,3878.778250000164,0,0
7,2,3,28,16,HEA,3762.812050000165,0,0
7,3,3,28,16,HEA,3775.065000000149,0,0
7,4,3,28,16,HEA,3817.0996500001725,0,0
7,5,3,28,16,HEA,3828.328800000146,0,0
7,6,3,28,16,HEA,3937.1922000001496,0,0
7,7,3,28,16,HEA,3792.7342500001837,0,0
7,8,3,28,16,HEA,3887.2170000001643,0,0
7,9,3,28,16,HEA,3887.1478000001616,0,0
7,0,4,28,16,HEA,3978.0005500001553,0,0
7,1,4,28,16,HEA,3987.8553000001507,0,0
7,2,4,28,16,HEA,3887.1865500001595,0,0
7,3,4,28,16,HEA,3948.234100000168,0,0
7,4,4,28,16,HEA,3928.5927500001562,0,0
7,5,4,28,16,HEA,3919.4904500001794,0,0
7,6,4,28,16,HEA,3902.9813500001487,0,0
7,7,4,28,16,HEA,3887.8861500001585,0,0
7,8,4,28,16,HEA,3845.0360000001792,0,0
7,9,4,28,16,HEA,3905.07885000016,0,0
7,0,5,28,16,HEA,3952.648100000149,0,0
