pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
7,3,28,16,cyclic,475.8192750000002,37.71,0.194
7,3,28,16,penalty,1852.353545000044,0.079,0.005
7,4,28,16,HEA,3919.0342050001614,0.0,0.0
7,4,28,16,commute,0.4579999999999999,100.0,22.672
7,4,28,16,cyclic,117.7206450000003,73.69800000000001,0.281
7,4,28,16,penalty,2222.0959300000995,0.17000000000000007,0.016999999999999998
7,5,28,16,HEA,3952.136730000157,0.0,0.0
7,5,28,16,commute,0.4647149999999999,100.0,19.747999999999998
7,5,28,16,cyclic,302.838549999998,29.415999999999997,0.0
7,5,28,16,penalty,1819.9608750000339,0.12500000000000003,0.016999999999999998
8,1,8,6,HEA,25.834730785356413,0.003,0.0
8,1,8,6,commute,0.12773205578917854,100.0,55.95
8,1,8,6,cyclic,23.37675892634129,21.866999999999997,6.6450000000000005
8,1,8,6,penalty,39.4137458296531,9.148,2.923
8,2,8,6,HEA,20.808571670603765,34.326,18.431
8,2,8,6,commute,0.08589953267990555,100.0,67.62100000000001
8,2,8,6,cyclic,17.70495277542671,47.744,5.91
8,2,8,6,penalty,41.253264627172165,9.198,2.7920000000000003
8,3,8,6,HEA,32.27664790290808,18.276000000000003,6.191000000000001
8,3,8,6,commute,0.06191654297308077,100.0,74.511
8,3,8,6,cyclic,22.710304750718784,24.235000000000003,10.327
8,3,8,6,penalty,44.02723712285375,7.0550000000000015,2.141
8,4,8,6,HEA,38.041961955233035,11.746,4.33
8,4,8,6,commute,0.06538109876335849,100.0,76.64099999999999
8,4,8,6,cyclic,24.901672582623004,20.512,5.804
8,4,8,6,penalty,37.34457044054359,9.501000000000001,3.8870000000000005
8,5,8,6,HEA,41.05515223601801,6.866,1.768
8,5,8,6,commute,0.05495302545289945,100.0,76.838
8,5,8,6,cyclic,26.67531058417567,16.836000000000002,7.76
8,5,8,6,penalty,41.38310362572737,8.266000000000002,2.866
9,1,18,9,HEA,21.75194590433318,0.019,0.0
9,1,18,9,commute,0.5538981373114141,100.0,0.0
9,1,18,9,cyclic,0.5592320757667538,99.993,0.0
9,1,18,9,penalty,46.55268267912321,0.15800000000000003,0.0
9,2,18,9,HEA,39.46150866712567,0.313,0.0
9,2,18,9,commute,0.542913187468228,100.0,0.0
9,2,18,9,cyclic,0.5859333525402669,99.975,0.0
9,2,18,9,penalty,37.5161151002187,0.34899999999999987,0.0
9,3,18,9,HEA,45.25203554737481,0.052000000000000005,0.0
9,3,18,9,commute,0.5164549995299279,99.99999999999999,0.0
9,3,18,9,cyclic,7.5470377175628895,70.117,0.0
9,3,18,9,penalty,37.058622791177456,0.176,0.0
9,4,18,9,HEA,50.5534634353106,0.037,0.0
9,4,18,9,commute,0.509409017307394,100.0,0.0
9,4,18,9,cyclic,8.17155961254459,70.03,0.0
9,4,18,9,penalty,43.02242559727826,0.092,0.0
9,5,18,9,HEA,51.8762609478501,0.064,0.0
9,5,18,9,commute,0.5136308930390511,99.99999999999999,0.0
9,5,18,9,cyclic,22.547265937568458,10.461,0.0
9,5,18,9,penalty,37.828159985561385,0.2919999999999999,0.0
10,1,24,11,HEA,38.99992549269244,0.0,0.0
10,1,24,11,commute,0.6379748734578622,100.0,0.0
10,1,24,11,cyclic,0.6499022509003821,99.994,0.0
10,1,24,11,penalty,54.4768691522119,0.01,0.0
10,2,24,11,HEA,56.77675160430598,0.019,0.0
10,2,24,11,commute,0.6246698400772253,99.99999999999999,0.0
10,2,24,11,cyclic,0.6663884788827976,99.975,0.0
10,2,24,11,penalty,53.990687798275005,0.012,0.0
10,3,24,11,HEA,62.975307564514665,0.002,0.0
10,3,24,11,commute,0.5878824627131749,99.99999999999997,0.0
10,3,24,11,cyclic,0.6360805630748396,99.95,0.0
10,3,24,11,penalty,51.93322482404422,0.011,0.0
10,4,24,11,HEA,66.17444341081077,0.005,0.0
10,4,24,11,commute,0.5826194471762633,99.99999999999997,0.0
10,4,24,11,cyclic,0.6404584975091854,99.896,0.0
10,4,24,11,penalty,51.9054897138049,0.022,0.0
10,5,24,11,HEA,66.53729658152551,0.004,0.0
10,5,24,11,commute,0.582368785512086,99.99999999999991,0.0
10,5,24,11,cyclic,3.3551145804996443,89.924,0.0
10,5,24,11,penalty,54.416443770040225,0.012,0.0
11,1,27,12,HEA,31.038833911444932,0.019,0.0
11,1,27,12,commute,0.5798631900695458,100.0,0.0
11,1,27,12,cyclic,0.6216727697407272,99.993,0.0
11,1,27,12,penalty,43.262001539106855,0.001,0.0
11,2,27,12,HEA,46.74685604338895,0.002,0.0
11,2,27,12,commute,0.5836783103999994,99.99999999999999,0.0
11,2,27,12,cyclic,7.684389605489248,70.007,0.0
11,2,27,12,penalty,42.874609917450066,0.003,0.0
11,3,27,12,HEA,50.26698686134115,0.002,0.0
11,3,27,12,commute,0.5589293269172912,99.99999999999991,0.0
11,3,27,12,cyclic,14.503537528605364,40.006,0.0
11,3,27,12,penalty,36.80245804651062,0.011,0.0
11,4,27,12,HEA,52.74388307352176,0.009,0.0
11,4,27,12,commute,0.5466852998133724,99.99999999999986,0.0
11,4,27,12,cyclic,15.56648583100936,30.014,0.0
11,4,27,12,penalty,37.55364495490535,0.023,0.0
11,5,27,12,HEA,53.40604906039856,0.0,0.0
11,5,27,12,commute,0.5356141979619001,99.9999999999999,0.0
11,5,27,12,cyclic,21.72468023378839,10.023,0.0
11,5,27,12,penalty,39.678273020413585,0.005,0.0
